ANO,MES,ESTADO,REGIAO,CONSUMO_T
2004,ABR,RORAIMA,NORTE,"1513,313"
2004,ABR,PARÁ,NORTE,80720
2004,ABR,AMAPÁ,NORTE,3926
2004,ABR,TOCANTINS,NORTE,29497
2004,ABR,MARANHÃO,NORDESTE,39783
2004,ABR,PIAUÍ,NORDESTE,22445
2004,ABR,CEARÁ,NORDESTE,64858
2004,ABR,RIO GRANDE DO NORTE,NORDESTE,30563
2004,ABR,PARAÍBA,NORDESTE,26351
2004,ABR,PERNAMBUCO,NORDESTE,74323
2004,ABR,ALAGOAS,NORDESTE,25525
2004,ABR,SERGIPE,NORDESTE,18824
2004,ABR,BAHIA,NORDESTE,136288
2004,ABR,AJUSTES,NORDESTE,6000
2004,ABR,MINAS GERAIS,SUDESTE,262564
2004,ABR,ESPÍRITO SANTO,SUDESTE,48488
2004,ABR,RIO DE JANEIRO,SUDESTE,238045
2004,ABR,SÃO PAULO,SUDESTE,"762222,172"
2004,ABR,AJUSTES,SUDESTE,86000
2004,ABR,PARANÁ,SUL,173662
2004,ABR,SANTA CATARINA,SUL,137044
2004,ABR,RIO GRANDE DO SUL,SUL,174149
2004,ABR,AJUSTES,SUL,10000
2004,ABR,MATO GROSSO,CENTRO-OESTE,51788
2004,ABR,MATO GROSSO DO SUL,CENTRO-OESTE,36187
2004,ABR,GOIÁS,CENTRO-OESTE,120197
2004,ABR,DISTRITO FEDERAL,CENTRO-OESTE,59228
2004,MAI,RONDÔNIA,NORTE,15406
2004,MAI,ACRE,NORTE,3720
2004,MAI,AMAZONAS,NORTE,39036
2004,MAI,RORAIMA,NORTE,"3705,915"
2004,MAI,PARÁ,NORTE,82088
2004,MAI,AMAPÁ,NORTE,6197
2004,MAI,TOCANTINS,NORTE,29528
2004,MAI,MARANHÃO,NORDESTE,38903
2004,MAI,PIAUÍ,NORDESTE,23323
2004,MAI,CEARÁ,NORDESTE,72377
2004,MAI,RIO GRANDE DO NORTE,NORDESTE,32574
2004,MAI,PARAÍBA,NORDESTE,27348
2004,MAI,PERNAMBUCO,NORDESTE,78114
2004,MAI,ALAGOAS,NORDESTE,26207
2004,MAI,SERGIPE,NORDESTE,16535
2004,MAI,BAHIA,NORDESTE,148117
2004,MAI,AJUSTES,NORDESTE,9000
2004,MAI,MINAS GERAIS,SUDESTE,299209
2004,MAI,ESPÍRITO SANTO,SUDESTE,52856
2004,MAI,RIO DE JANEIRO,SUDESTE,254860
2004,MAI,SÃO PAULO,SUDESTE,763920
2004,MAI,AJUSTES,SUDESTE,102000
2004,MAI,PARANÁ,SUL,162633
2004,MAI,SANTA CATARINA,SUL,134493
2004,MAI,RIO GRANDE DO SUL,SUL,159955
2004,MAI,AJUSTES,SUL,10000
2004,MAI,MATO GROSSO,CENTRO-OESTE,58702
2004,MAI,MATO GROSSO DO SUL,CENTRO-OESTE,33413
2004,MAI,GOIÁS,CENTRO-OESTE,122728
2004,MAI,DISTRITO FEDERAL,CENTRO-OESTE,63997
2004,JUN,RONDÔNIA,NORTE,19759
2004,JUN,ACRE,NORTE,4275
2004,JUN,AMAZONAS,NORTE,"55435,6"
2004,JUN,RORAIMA,NORTE,"2891,75"
2004,JUN,PARÁ,NORTE,98315
2004,JUN,AMAPÁ,NORTE,7552
2004,JUN,TOCANTINS,NORTE,40329
2004,JUN,MARANHÃO,NORDESTE,46111
2004,JUN,PIAUÍ,NORDESTE,25466
2004,JUN,CEARÁ,NORDESTE,70882
2004,JUN,RIO GRANDE DO NORTE,NORDESTE,32706
2004,JUN,PARAÍBA,NORDESTE,25120
2004,JUN,PERNAMBUCO,NORDESTE,69976
2004,JUN,ALAGOAS,NORDESTE,19604
2004,JUN,SERGIPE,NORDESTE,16196
2004,JUN,BAHIA,NORDESTE,135806
2004,JUN,AJUSTES,NORDESTE,8000
2004,JUN,MINAS GERAIS,SUDESTE,303866
2004,JUN,ESPÍRITO SANTO,SUDESTE,53379
2004,JUN,RIO DE JANEIRO,SUDESTE,279415
2004,JUN,SÃO PAULO,SUDESTE,"778743,089"
2004,JUN,AJUSTES,SUDESTE,107000
2004,JUN,PARANÁ,SUL,"190964,95"
2004,JUN,SANTA CATARINA,SUL,150250
2004,JUN,RIO GRANDE DO SUL,SUL,"180711,3"
2004,JUN,AJUSTES,SUL,10000
2004,JUN,MATO GROSSO,CENTRO-OESTE,63281
2004,JUN,MATO GROSSO DO SUL,CENTRO-OESTE,39588
2004,JUN,GOIÁS,CENTRO-OESTE,134224
2004,JUN,DISTRITO FEDERAL,CENTRO-OESTE,67774
2004,JUL,RONDÔNIA,NORTE,20185
2004,JUL,ACRE,NORTE,4699
2004,JUL,AMAZONAS,NORTE,"56241,96"
2004,JUL,RORAIMA,NORTE,"2796,75"
2004,JUL,PARÁ,NORTE,108105
2004,JUL,AMAPÁ,NORTE,5796
2004,JUL,TOCANTINS,NORTE,40416
2004,JUL,MARANHÃO,NORDESTE,49146
2004,JUL,PIAUÍ,NORDESTE,29923
2004,JUL,CEARÁ,NORDESTE,85304
2004,JUL,RIO GRANDE DO NORTE,NORDESTE,32727
2004,JUL,PARAÍBA,NORDESTE,27654
2004,JUL,PERNAMBUCO,NORDESTE,84203
2004,JUL,ALAGOAS,NORDESTE,25229
2004,JUL,SERGIPE,NORDESTE,17425
2004,JUL,BAHIA,NORDESTE,147816
2004,JUL,AJUSTES,NORDESTE,10000
2004,JUL,MINAS GERAIS,SUDESTE,320442
2004,JUL,ESPÍRITO SANTO,SUDESTE,55198
2004,JUL,RIO DE JANEIRO,SUDESTE,249081
2004,JUL,SÃO PAULO,SUDESTE,"776245,251"
2004,JUL,AJUSTES,SUDESTE,109000
2004,JUL,PARANÁ,SUL,193647
2004,JUL,SANTA CATARINA,SUL,149578
2004,JUL,RIO GRANDE DO SUL,SUL,181807
2004,JUL,AJUSTES,SUL,10000
2004,JUL,MATO GROSSO,CENTRO-OESTE,69737
2004,JUL,MATO GROSSO DO SUL,CENTRO-OESTE,42637
2004,JUL,GOIÁS,CENTRO-OESTE,132814
2004,JUL,DISTRITO FEDERAL,CENTRO-OESTE,71340
2004,AGO,RONDÔNIA,NORTE,19467
